artists,genres
88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
88rising,"['asian american hip hop', 'pop']"
8Ball,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']"
8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
8BitAllstars,[]
8kHz Mono,['futurepop']
90sFlav,['lo-fi beats']
94 East,['minneapolis sound']
98º,"['boy band', 'dance pop']"
99 Souls,"['house', 'uk house']"
9K Breaks,['bboy']
9lokknine,['florida rap']
9th Street Trio,[]
9th Wonder,"['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop']"
A & Z,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
A Boy Called Joni,['deep progressive trance']
A Camp,"['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano']"
A Cautionary Tale,[]
A Certain Ratio,"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'industrial', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'synthpop', 'uk post-punk']"
A Day To Remember,"['metalcore', 'pop punk', 'screamo']"
A Few Good Men,['new jack swing']
A Fine Frenzy,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
A Foot In Coldwater,[]
A Force,[]
A Great Big World,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock']"
A Guy Called Gerald,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
A Jam Session At Victor,[]
A Perfect Circle,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']"
A River of Trees,[]
A Rocket In Dub,['dusseldorf electronic']
A Rocket To The Moon,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']"
A Skylit Drive,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
A Taste Of Honey,"['boogie', 'disco', 'funk', 'post-disco']"
A Touch Of Class,"['bubblegum dance', 'europop']"
A Tree Grows in Brooklyn Ensemble,[]
A Tree Grows in Brooklyn Orchestra,[]
A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
a-ha,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
A-mase,[]
A-Mei Chang,"['c-pop', 'mandopop']"
A-Trak,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']"
A. Caminha,[]
A. Jaziukevičius,['lithuanian folk']
A. L. Lloyd,"['broadway', 'show tunes', 'west end']"
