artists,genres
Kym Karath,['show tunes']
Kymosabex,[]
Kyogo Kawaguchi,['japanese singer-songwriter']
Kyoki,[]
kyoko,['techno kayo']
Kyoshi Ivory,[]
Kyper,[]
Kyras,[]
Kyria Piko,[]
Kyriakos kai Fotis Xalkiopoylos,[]
Kyson,"['ambient idm', 'vapor soul']"
Kyung Wha Chung,"['korean classical performance', 'violin']"
Kyuss,"['alternative metal', 'alternative rock', 'grunge', 'palm desert scene', 'rock', 'space rock', 'stoner metal', 'stoner rock']"
Kyza,[]
L-Dub,"['reggae rock', 'ska', 'ska punk']"
L. Doblado,[]
L. Likiardopoulou,[]
L. Royvas,[]
L. Royvas-Laoyto,[]
L. Vegas,"['belgian dance', 'belgian edm', 'big room', 'deep big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
L.A. Cats,[]
L.A. Dream Team,"['electro', 'old school hip hop']"
L.A. Guns,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']"
L.B.G.,[]
L.c. Cooke,[]
L.Luttazzi,[]
L.M. Hilton,[]
L.O.C,[]
L.T.D.,"['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
L.V.,[]
L.V. Williams & The Williams Family,[]
l'African Fiesta,[]
L'Arc-en-Ciel,[]
L'Arte dell' Arco,[]
l'OK Jazz,[]
L'or,[]
L'Orchestra Cinematique,[]
L'Orchestra Italiana,[]
L'Orchestre de la Suisse Romande,[]
L'Orchestre National de France,[]
L'Trimm,[]
L7,"['alternative rock', 'grunge', 'punk', 'riot grrrl', 'rock']"
La Adictiva Banda San José de Mesillas,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']"
La Apuesta,"['corrido', 'cumbia sonidera', 'duranguense', 'musica costena', 'regional mexican']"
La Arrolladora Banda El Limón De Rene Camacho,"['banda', 'corrido', 'ranchera', 'regional mexican']"
La Banda Del Carneval,[]
La Bottine Souriante,"['canadian celtic', 'indie quebecois', 'trad quebecois']"
La Bouche,"['bubblegum dance', 'diva house', 'eurodance', 'europop', 'german techno', 'hip house']"
La Castañeda,"['latin alternative', 'latin rock', 'mexican rock', 'rock en espanol', 'rock urbano mexicano']"
La Chat,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']"
La Chicana,"['grupera', 'tecnobanda']"
La Combinación Vallenata,"['vallenato', 'vallenato moderno']"
La Crème Swing band,[]
La Diferenzia,['tejano']
La Dinastia De Tuzantla Mich,"['banda caliente', 'nuevo regional mexicano']"
La Dinastía de Tuzantla Michoacán,"['banda caliente', 'nuevo regional mexicano']"
La Dispute,"['alternative emo', 'emo', 'grand rapids indie', 'progressive post-hardcore']"
La Factoria,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'tropical']"
La Familia André,[]
La Fe Norteña De Toño Aranda,['norteno-sax']
La Fete,"['alternative dance', 'belgian new wave', 'electroclash']"
La Fiebre,"['new mexico music', 'tejano']"
La Gran Banda,"['musica hondurena', 'punta', 'punta rock']"
La Gran Banda Caleña,"['cumbia', 'porro']"
La Grande Écurie et la Chambre du Roy,[]
La Gresca,[]
La Gusana Ciega,"['latin alternative', 'latin arena pop', 'latin rock', 'mexican indie', 'mexican rock', 'rock en espanol']"
LA INDIA,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']"
La Joven Guardia,"['pop romantico', 'rock nacional']"
La La Land Cast,[]
La Ley,"['chilean rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']"
La Leyenda,['banda caliente']
La Linea,[]
La Lupe,"['latin jazz', 'mambo', 'salsa']"
La Luz Roja De San Marcos,"['cumbia salvadorena', 'cumbia sonidera', 'musica costena']"
La Mafia,"['grupera', 'ranchera', 'regional mexican', 'tejano']"
La Makina,"['latin', 'merengue', 'tropical']"
La Maquina De Hacer Pájaros,"['argentine rock', 'latin rock', 'rock en espanol', 'rock nacional']"
La Maquinaria Norteña,"['corrido', 'norteno', 'norteno-sax', 'nuevo regional mexicano', 'regional mexican']"
La Marisoul,[]
La Mejores Bandas Del Mundo Vol 2,[]
La Migra,['grupera']
La Mosca Tse-Tse,"['latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol', 'ska argentino']"
La Nobleza De Aguililla,"['banda caliente', 'grupera', 'regional mexican']"
La Numero 1 Banda Jerez De Marco A. Flores,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican', 'tamborazo']"
La Oreja de Van Gogh,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']"
La Original Banda El Limón de Salvador Lizárraga,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']"
La Patrulla 15,['merengue']
La Petite Bande De Montréal,[]
La Playa Sextet,"['latin jazz', 'salsa international']"
La Prieta Linda,[]
La Quinta Estacion,"['latin', 'latin arena pop', 'latin pop', 'pop', 'rock en espanol', 'spanish pop', 'spanish pop rock']"
La Rondalla De Saltillo,"['bolero', 'lldm', 'ranchera']"
La Rondallita,[]
La Roscada,[]
La Roux,"['alternative dance', 'dance pop', 'electropop', 'neo-synthpop', 'new rave']"
La Secta AllStar,"['puerto rican rock', 'reggae en espanol']"
La Solucion,"['salsa', 'salsa international']"
La Sonora Altepexana,['cumbia sonidera']
La Sonora Dinamita,"['cumbia', 'ranchera', 'salsa colombiana']"
La Sonora Malecon Club,[]
La Sonora Matancera,"['bolero', 'cumbia', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa', 'tropical']"
La Sonora Santanera,"['bolero', 'bolero mexicano', 'latin pop']"
La Tropa Chicana,"['grupera', 'tecnobanda']"
La Tropa Vallenata,"['chicha', 'cumbia', 'cumbia colombiana regia', 'cumbia sonidera']"
La Unión,"['cantautor', 'latin alternative', 'latin rock', 'rock en espanol', 'spanish new wave', 'spanish pop']"
La Vergne Smith,[]
La Zenda Norteña,"['corrido', 'norteno-sax', 'nuevo regional mexicano', 'regional mexican', 'tejano']"
Labanoon,"['thai folk rock', 'thai pop', 'thai rock']"
Label5,[]
LaBelle,"['disco', 'funk', 'motown', 'neo soul', 'new jack swing', 'philly soul', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Labi Siffre,"['classic uk pop', 'funk', 'soul']"
Labradford,"['ambient', 'drone', 'freak folk', 'post-rock']"
Labrinth,"['indie poptimism', 'pop']"
Lacerenza Michele,['old west']
LaChanze,['movie tunes']
Lachhiram,[]
Lachi,[]
Lacuna Coil,"['alternative metal', 'gothic metal', 'italian gothic', 'italian gothic metal', 'italian metal', 'slayer', 'symphonic metal']"
Lacy J. Dalton,"['classic country pop', 'country']"
Lad Richards Orchestra,[]
Ladi,"['canadian pop', 'canadian rock', 'comic', 'pop rock']"
Ladron,"['cumbia sonidera', 'grupera', 'gruperas inmortales']"
Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']"
Lady Bee,"['bubblegrunge', 'indie pop', 'indie rock', 'indie singer-songwriter', 'maine indie']"
Lady Bee x D-Rashid,[]
Lady Boss,[]
Lady Diva,[]
Lady Gaga,"['dance pop', 'pop', 'pop dance']"
Lady in the Dark Ensemble (1963),[]
Lady Levi,[]
Lady Luck,['background jazz']
Lady Saw,"['dancehall', 'lovers rock', 'old school dancehall', 'reggae fusion', 'soca']"
LADYBABY,"['idol rock', 'kawaii metal']"
LadyGirl,[]
Ladysmith Black Mambazo,"['afropop', 'south african choral', 'world']"
Ladytron,"['alternative dance', 'art pop', 'dance-punk', 'electroclash', 'electronica', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']"
Laetitia Sadier,['dream pop']
Lafayette Afro Rock Band,"['afrobeat', 'funk', 'jazz funk', 'soul jazz']"
Lafayette Leake,"['boogie-woogie', 'piano blues']"
LaFrance Belvue,['haitian traditional']
Lagwagon,"['melodic hardcore', 'punk', 'ska punk', 'skate punk', 'socal pop punk']"
Laid Back,"['classic danish pop', 'italian disco']"
Laidback Luke,"['big room', 'deep big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
Laiki Orxistra,[]
Lainey Wilson,"['contemporary country', 'country pop']"
Lake Street Dive,"['boston rock', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']"
Lakeside,"['classic soul', 'disco', 'electro', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Lakeside Revival,[]
Lakshmi Bai,[]
Lakshmi Roy,[]
Lakshmi Shankar,"['hindustani classical', 'hindustani vocal', 'indian classical']"
Lal Chand Baral,[]
Lal Chand Boral,[]
Lal Mohammed,[]
Lalah Hathaway,"['neo r&b', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Lale Andersen,"['classic schlager', 'vintage schlager', 'volksmusik']"
Lalita Deolkar,[]
Lalita Dewoolkar,[]
Lalita Parulekar,[]
Lalita Pawar,[]
Lalita Phadke,[]
Lallubhai,[]
Lallubhai Naik,[]
Lalo Ebratt,"['colombian hip hop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino', 'tropical']"
Lalo Mora,"['corrido', 'norteno', 'ranchera', 'regional mexican']"
Lalo Rodriguez,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
Lalo Schifrin,"['classic soundtrack', 'latin classical', 'latin soundtrack', 'lounge']"
Laloo,[]
Lam Truong,"['v-pop', 'vietnamese pop']"
Lamari,[]
Lamarquis Jefferson,[]
Lamartine Babo,['velha guarda']
Lamb,"['contemporary country', 'country', 'country dawn', 'country road']"
Lamb of God,"['alternative metal', 'groove metal', 'melodic metalcore', 'metal', 'nu metal', 'virginia metal']"
Lambda,"['j-rock', 'japanese alternative rock', 'japanese indie rock']"
"Lambert, Hendricks & Ross","['vocal harmony group', 'vocal jazz']"
Lamberto Gardelli,['opera']
LambStonE,[]
Lamont Dozier,"['classic soul', 'motown', 'quiet storm', 'southern soul']"
Lamp,"['japanese alternative pop', 'shibuya-kei']"
Lampros Xalkias,[]
Lan Sub,['lafayette indie']
Lana Del Rey,"['art pop', 'pop']"
Lance Buller,[]
LANCO,"['contemporary country', 'country pop']"
Land of the Loops,[]
Landon Austin,"['channel pop', 'indiecoustica', 'neo mellow', 'pop', 'viral pop']"
Landon Cube,"['emo rap', 'pop rap', 'sad rap', 'underground hip hop', 'vapor trap']"
Landon Pigg,"['acoustic pop', 'neo mellow']"
Lane 8,"['gauze pop', 'progressive house', 'tropical house']"
Lane Bradbury,[]
Lane Tietgen,[]
Lanfree,[]
Lang Lang,"['chinese classical performance', 'chinese classical piano', 'classical', 'classical performance', 'classical piano']"
Lange,['background piano']
Lange Jojo,['classic belgian pop']
Langhorne Slim,"['anti-folk', 'deep new americana', 'indie folk', 'indie pop', 'modern folk rock', 'new americana', 'stomp and holler']"
Langston Hughes,"['american modern classical', 'poetry']"
Lani Hall,[]
Lani McIntire's Hawaiians,[]
Lani Misalucha,"['classic opm', 'opm', 'tagalog worship']"
Lanna Commins,['thai pop']
Lanning,['social media pop']
Lanny May,['minimal melodic techno']
LANY,"['la pop', 'pop']"
Laolom,['thai rock']
Lapreem,[]
Lapsikuoro,[]
Lara,"['latin worship', 'rap cristiano']"
Lara & Reyes,['rumba']
Lara Fabian,"['french pop', 'operatic pop']"
Lara Liang,['mandopop']
Laraaji,"['ambient', 'art pop', 'art rock', 'compositional ambient', 'drone', 'fourth world']"
Larbi Megateli,[]
Lard,[]
LARGE KALLIOPE WITH BELLS,[]
"LARGE KALLIOPE WITH BELLS, POLYPHON WITH BELLS, REGINA",[]
"LARGE KALLIOPE WITH BELLS, REGINA",[]
Large Professor,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'turntablism']"
Larnelle Harris,['southern gospel']
Larrick Ebanks,[]
Larry,"['cali rap', 'underground hip hop', 'west coast trap']"
Larry Binyon,[]
Larry Blackmon,[]
Larry Blyden,[]
Larry Carlton,"['jazz funk', 'jazz fusion', 'jazz guitar', 'smooth jazz']"
Larry Carr,[]
Larry Clinton,"['big band', 'swing']"
Larry Clinton & His Orchestra,[]
Larry Collins,[]
Larry Coryell,"['jazz funk', 'jazz fusion', 'jazz guitar']"
Larry Davis,"['soul blues', 'texas blues']"
Larry Gatlin,"['country gospel', 'country rock']"
Larry Gatlin & The Gatlin Brothers,"['country gospel', 'country rock']"
Larry Graham,"['funk', 'quiet storm', 'urban contemporary']"
Larry Graham & Graham Central Station,"['funk', 'p funk']"
Larry Greene,[]
Larry Groce,"[""children's music"", 'nursery']"
Larry Harlow,"['latin jazz', 'salsa', 'salsa international']"
Larry Keith,[]
Larry Kert,[]
Larry Levan,['garage house']
Larry Lovestein & The Velvet Revival,[]
Larry Norman,"['christian metal', 'deep christian rock']"
Larry Pierce,[]
Larry Ramos,[]
Larry Rice,['souldies']
Larry T. Marshall,[]
Larry Walsh,[]
Larry Williams,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
Larry Wilson,['outlaw country']
Lars Erstrand,"['jazz vibraphone', 'swedish jazz']"
Lars Frederiksen and the Bastards,"['oi', 'punk', ""punk 'n' roll"", 'ska punk', 'skate punk']"
Lars Gullin,"['jazz saxophone', 'swedish jazz']"
Lars Gullin Septet,['swedish jazz orkester']
Lars Lervik,[]
Lars Wickinger,[]
Lars-Erik Gudim,[]
Larsen/Feiten Band,"['deep soft rock', 'yacht rock']"
Lary Over,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
Las Atlixqueñas,[]
Las Chicas Del Can,"['classic venezuelan pop', 'merengue', 'tropical']"
Las Colombianitas,[]
Las Grecas,"['flamenco', 'rock andaluz', 'rumba']"
Las Hermanas Padilla,"['mariachi', 'ranchera']"
Las Jilguerillas,"['mariachi', 'ranchera']"
Las Kantutas,[]
Las Ketchup,[]
Las Salinas,[]
LaSalle Quartet,"['avant-garde', 'contemporary classical', 'string quartet']"
Lashia,[]
LaShun Pace,['gospel']
Lasse Bohlin,[]
Lasse Stefanz,"['classic swedish pop', 'dansband', 'danspunk', 'skanska musik', 'swedish country']"
Last 3 Digits,[]
Last Word,"['metalcore', 'post-post-hardcore', 'post-screamo', 'screamo']"
Last Year's Man,['eugene indie']
Last Years Forecast,[]
Laszlo Heltay,[]
László Kecskeméti,['hungarian classical performance']
László Szemere,[]
Lata Mangeshkar,"['classic bollywood', 'desi pop', 'filmi', 'sufi']"
Late Verlane,[]
Lateef The Truthspeaker,['oakland hip hop']
Lathun,[]
Latimore,"['alternative r&b', 'chill r&b', 'pop r&b', 'r&b', 'trap soul']"
Latin Breed,['tejano']
Latin Sound Groove,[]
Latingroove,[]
LaTocha Scott,[]
Latte Chill,[]
Latyrx,"['alternative hip hop', 'turntablism']"
Lau,"['electropop', 'pop', 'post-teen pop']"
Laughing Gravy,[]
Laura Aqui,[]
Laura Bell Bundy,"['broadway', 'country dawn', 'hollywood', 'show tunes']"
Laura Branigan,"['dance rock', 'europop', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
Laura Brehm,"['chillstep', 'pop edm']"
Laura Cantrell,"['alternative country', 'folk']"
Laura Dean,[]
Laura Dreyfuss,"['broadway', 'hollywood', 'show tunes']"
Laura Fygi,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']"
Laura Jansen,['dutch pop']
Laura Leon,[]
Laura Les,"['hyperpop', 'transpop']"
Laura Marling,"['art pop', 'british folk', 'british singer-songwriter', 'chamber pop', 'chamber psych', 'indie folk', 'singer-songwriter', 'stomp and holler']"
Laura Nori,[]
Laura Nyro,"['brill building pop', 'country rock', 'folk', 'folk rock', 'singer-songwriter', 'traditional folk']"
Laura Pausini,"['europop', 'italian adult pop', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'spanish pop']"
Laura Story,"['ccm', 'christian alternative rock', 'christian music', 'lds youth', 'world worship', 'worship']"
Laura Turgeon,[]
Laura V,"['anti-folk', 'chamber pop', 'chamber psych', 'freak folk', 'indie folk']"
Laura Whiteside,[]
Laura Williams,['movie tunes']
Laureano Brizuela,"['latin', 'latin arena pop', 'latin pop', 'ranchera']"
Laurel Shelby,[]
Laurell,['canadian pop']
Lauren Alaina,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']"
Lauren Aquilina,"['indie cafe pop', 'neo-singer-songwriter', 'viral pop']"
Lauren Bennett,['deep dance pop']
Lauren Daigle,"['ccm', 'christian music', 'worship']"
Lauren Evans,[]
Lauren Jauregui,"['pop', 'post-teen pop', 'r&b']"
Lauren Ray,[]
Lauren Wood,['yacht rock']
Laurence Guittard,[]
Laurent Schark,[]
Laurent Stopnicki,[]
Laurent Voulzy,"['chanson', 'french pop', 'french rock']"
Lauri Peters,[]
Laurie Anderson,"['art pop', 'art rock', 'bow pop', 'compositional ambient', 'experimental', 'experimental pop', 'experimental vocal', 'laboratorio']"
Laurie Beechman,[]
Laurie Johnson,"['classic soundtrack', 'library music', 'light music']"
Laurindo Almeida,"['bossa nova', 'brazilian jazz', 'exotica', 'jazz guitar', 'lounge', 'violao', 'violao classico']"
Lauritz Melchior,['vintage classical singing']
Lauv,"['electropop', 'pop', 'post-teen pop']"
Lavaman,['soca']
LaVern Baker,"['brill building pop', 'doo-wop', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul', 'torch song']"
Laverne Smith,[]
lavi kou,[]
Lavinia Meijer,['classical harp']
Lavrovsky,[]
Lawrence Brown,['classical tenor']
Lawrence Davidson,[]
Lawrence Dermer,[]
Lawrence Foster,['orchestral performance']
Lawson-Haggart Jazz Band,[]
Laxmikant–Pyarelal,"['classic bollywood', 'filmi', 'ghazal']"
Layla Foster,[]
Layla Mourad,"['arab folk', 'classic arab pop']"
Layla Mystic,[]
Laylae,[]
Layton Greene,['pop r&b']
Layzie Bone,"['gangster rap', 'ohio hip hop']"
Lazar Gosman,[]
Lazaros Rouvas,[]
Lazaros Royvas,[]
Lazarusman,[]
LazEboy,[]
Lazlo Bane,[]
Lazy Bug,[]
Lazy Jay,['belgian edm']
Lazy Tree Records,[]
LCD Soundsystem,"['alternative dance', 'alternative rock', 'dance-punk', 'electronic rock', 'electronica', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']"
Le Click,"['eurodance', 'hip house']"
Le Flex,"['new french touch', 'synth funk']"
Le Idi di Maggio,['italian blues']
Le Malanime,[]
Le Orme,"['beat italiano', 'italian progressive rock', 'progressive rock', 'symphonic rock']"
le Shuuk,"['berlin minimal techno', 'partyschlager']"
Le Tigre,"['alternative dance', 'dance-punk', 'new rave', 'queercore', 'riot grrrl']"
Le Youth,"['edm', 'house', 'nu disco', 'pop dance', 'progressive house', 'tropical house', 'vapor soul']"
Lea,['video game music']
Lea Hart,[]
Lea Salonga,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']"
Lea Salonga w/ Brad Kane,[]
Lead Belly,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'texas blues', 'traditional blues', 'traditional folk']"
Lead Major,[]
Leadbelly with Josh White,[]
Leadbelly with Martha Ledbetter,[]
Leadbelly with Sarah & Jim Garland,[]
Leadbelly with Sarah Garland,[]
Leadbelly with Sloan Wright,[]
Leaders of the New School,"['deep east coast hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']"
Leaf Hound,"['psychedelic blues-rock', 'psychedelic rock']"
League of Legends,['video game music']
Leah,[]
Leal Brito,['baiao']
Leama,[]
Leandro & Leonardo,"['pagode', 'sertanejo', 'sertanejo universitario']"
LeAnn Rimes,"['country', 'country dawn', 'dance pop', 'pop rock']"
Leardy & Verly,[]
Leatherface,"['emo', 'garage punk', 'melodic hardcore', 'north east england indie', 'orgcore', 'post-hardcore', 'skate punk']"
Leaving Laurel,[]
Leavv,"['chillhop', 'lo-fi beats']"
LeBlanc,['social media pop']
LeBlanc And Carr,[]
Lebo M.,"['disney', 'movie tunes']"
Lebrón Brothers,"['boogaloo', 'latin jazz', 'salsa', 'salsa international', 'tropical']"
Lecrae,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']"
Lecuona Cuban Boys,"['cuban rumba', 'musica tradicional cubana']"
Led Er Est,"['dark post-punk', 'grave wave', 'minimal wave']"
Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']"
Leda Moreno,['mexican rock-and-roll']
Ledisi,"['hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
LediZain,[]
Ledward Kaapana,"['hawaiian', 'slack-key guitar']"
"Lee ""Scratch"" Perry","['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
Lee Abrams,[]
Lee Ann Womack,"['contemporary country', 'country', 'country dawn', 'country road']"
Lee Brice,"['contemporary country', 'country', 'country road', 'modern country rock']"
LEE CHAN,['korean ost']
Lee Coombs,"['breakbeat', 'nu skool breaks']"
Lee Dixon,[]
Lee Dorsey,"['classic soul', 'funk', 'new orleans funk', 'rhythm and blues', 'rock-and-roll', 'soul']"
Lee Eun Sang,[]
Lee Fields & The Expressions,"['afrobeat', 'funk', 'indie soul', 'soul']"
Lee Greenwood,"['country', 'country rock']"
Lee Harvey,[]
"Lee Hays, Pete Seeger, and Bess Lomax",[]
Lee Hazlewood,"['baroque pop', 'country rock', 'experimental', 'oklahoma country', 'psychedelic rock', 'singer-songwriter', 'traditional folk']"
Lee Herschberg,[]
Lee Holdridge,['classic soundtrack']
Lee Jones,"['country rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'singer-songwriter']"
Lee Kernaghan,"['australian country', 'australian pop', 'australian rock']"
Lee Konitz,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride', 'vocal jazz']"
Lee Konitz Quartet,[]
Lee Marvin,[]
Lee Michaels,['hammond organ']
Lee Moon Sae,"['classic korean pop', 'k-indie', 'korean pop', 'world worship']"
Lee Morgan,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet', 'soul jazz', 'vocal jazz']"
Lee Morgan Quintet,[]
Lee Morse,"['torch song', 'vintage jazz']"
Lee Moses,['southern soul']
Lee Osborne,['progressive uplifting trance']
Lee Oskar,['harmonica jazz']
Lee Remick,[]
Lee Ritenour,"['jazz funk', 'jazz fusion', 'jazz guitar', 'smooth jazz', 'yacht rock']"
Lee Roy Parnell,"['country', 'country rock']"
Lee Roy Reams,[]
LEE SEUNG HWAN,['korean pop']
Lee Sun Hee,"['classic korean pop', 'korean pop']"
Lee Venora,[]
Lee Wiley,"['big band', 'torch song', 'vocal jazz']"
Lee Wilkof,[]
Leehom Wang,"['c-pop', 'mandopop', 'taiwan pop']"
Leela,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Leela Bai,[]
Leela Chitnis,[]
Leela Mehta,[]
Leela Pawar,[]
Leela Sawant,[]
LEEWOO,['korean pop']
Left Ear Right,[]
Lefteris Melemelis,[]
Leftöver Crack,"['crack rock steady', 'folk punk', 'hardcore punk', 'punk', 'ska', 'ska punk']"
Leftover Salmon,"['bluegrass', 'jam band', 'jamgrass', 'progressive bluegrass']"
Leftwing : Kody,"['deep groove house', 'deep house', 'disco house', 'house', 'pop dance', 'uk dance', 'uk tech house']"
Lefty Frizzell,"['arkansas country', 'country rock', 'honky tonk', 'traditional country']"
Legan,[]
Legend The Band,[]
Legendary,[]
Leghau,[]
Legião Urbana,"['brazilian rock', 'mpb', 'rock brasiliense', 'rock nacional brasileiro']"
Legión Española,[]
Legion Zoe,[]
Legs Diamond,[]
Lehman Engel,[]
Lehman Engel Orchestra,[]
Lei Annalisa Povia,[]
Lei Qiang,"['chinese traditional', 'erhu']"
Leif Garrett,"['bubblegum pop', 'classic uk pop']"
Leif Ove Andsnes,"['classical performance', 'classical piano', 'nordic classical piano']"
Leigh Harline,['movie tunes']
Leigh Nash,['candy pop']
Leighton Meester,"['dance pop', 'post-teen pop']"
Leila Forouhar,"['afghan pop', 'classic persian pop']"
Leila K,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
Leilani Jones,[]
Leipzig MDR Symphony Orchestra,"['german orchestra', 'radio symphony']"
Leith Stevens And His Orchestra,[]
Lele Pons,"['latin pop', 'viral pop']"
Lelle Nateri,[]
Lemon,"['comic', 'indietronica']"
Lemon & Einar K,[]
Lemon Demon,"['comic', 'indietronica']"
Lemon Jelly,"['downtempo', 'electronica', 'ninja', 'nu jazz', 'trip hop', 'turntablism']"
Lemon Popsicle,['minimal tech house']
LEN,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']"
Len Cariou,"['broadway', 'hollywood', 'show tunes']"
Lena Conradson,[]
Lena Horne,"['adult standards', 'harlem renaissance', 'lounge', 'torch song', 'vocal jazz']"
Lena Louvari,[]
Lena Susanne Norin,[]
Lena Te,[]
Lenachka,"['indie poptimism', 'vapor pop']"
Lenče Kukić,[]
Lenin Blackone,[]
Lenin Ramírez,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
Leningrad Philharmonic Orchestra,"['orchestra', 'russian orchestra']"
Lenka,[]
LENN,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']"
Lennie Hayton,[]
Lennie Hayton & His Orchestra,[]
Lennie Niehaus,['classic soundtrack']
Lennie Tristano,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano', 'stride']"
Lennon Stella,"['canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
Lennox,"['alternative r&b', 'dmv rap', 'indie r&b', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Lenny Cooper,"['country rap', 'country road', 'redneck']"
Lenny Dee,"['gabba', 'happy hardcore', 'hardcore techno', 'industrial hardcore', 'speedcore']"
Lenny Hayton & His Orchestra,[]
Lenny Kravitz,"['permanent wave', 'pop rock', 'rock']"
Lenny LeBlanc,"['christian relaxative', 'classic praise', 'worship']"
Lenny Tavárez,"['latin', 'reggaeton', 'reggaeton flow', 'trap argentino', 'trap latino']"
Lenny Weber,[]
Lenny Welch,[]
Lenny White,"['jazz funk', 'jazz fusion']"
Lenny Williams,"['classic soul', 'quiet storm']"
Lenore Lonergan,[]
lentra,"['canadian hip hop', 'meme rap']"
Lentz,[]
Leo Abrahams,[]
Leo Arellano,[]
Leo Brouwer,"['classical guitar', 'guitarra clasica', 'latin classical']"
Leo Burmester,[]
Leo Dan,"['bolero', 'cancion melodica', 'latin pop', 'ranchera']"
Léo Delibes,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
Leo Diamond Harmonica Quartet,[]
Léo Ferré,['chanson']
Leo Giannola,[]
Leo Kottke,"['american primitive', 'country rock', 'fingerstyle', 'folk', 'jam band', 'progressive bluegrass', 'roots rock', 'traditional folk']"
Leo Lipesker y su Orquesta,[]
Leo Litwin,[]
Leo Marini,"['bolero', 'pop romantico']"
Leo Mathisen,['danish jazz']
Leo Mathisens Band,[]
Leo Mathisens Ork.,[]
Leo Parker,[]
Léo Peracchi,[]
Léo Peracchi e Sua Orquestra,[]
Leo Reisman & His Orchestra,[]
Leo Reyes,[]
Leo Rowsome,['uilleann pipes']
Leo Sayer,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'disco', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
